,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
HBAC_1,-4.8,-4.8999999999999995,-4.366666666666667,-4.2,-4.833333333333333,-4.933333333333334,-6.1000000000000005,-5.133333333333334,-6.866666666666667,-5.066666666666667,-5.466666666666666,-5.599999999999999,-4.300000000000001,-3.9,-5.2,-5.433333333333334,-3.9,-5.233333333333333,-5.833333333333333,-8.033333333333333,-6.8,-6.566666666666666,-6.866666666666667,-4.966666666666667,-6.533333333333334,-7.2,-8.1,-6.166666666666667,-7.5,-6.7,-6.266666666666666,-6.5,-6.033333333333334,-4.3,-6.666666666666667,-6.5,-6.866666666666667,-7.133333333333333,-6.599999999999999,-4.666666666666666,-5.833333333333333,-6.166666666666667,-5.766666666666666,-7.266666666666667,-6.3,-6.633333333333333,-5.0,-6.400000000000001,-7.233333333333333,-7.333333333333333,-7.066666666666667,-5.7,-3.5,-6.133333333333333,-7.066666666666666,-7.333333333333333,-5.933333333333333,-6.866666666666667,-7.0,-7.466666666666666,-7.366666666666667
HBAC_2,-5.066666666666666,-5.5,-5.133333333333334,-4.466666666666667,-4.7,-5.2,-6.533333333333334,-5.366666666666667,-7.233333333333334,-4.933333333333334,-5.766666666666667,-5.966666666666666,-4.5,-4.3,-5.166666666666667,-6.0,-4.7,-5.033333333333334,-6.133333333333333,-7.833333333333333,-7.533333333333334,-7.233333333333334,-7.4,-5.166666666666666,-7.3,-6.033333333333334,-7.8,-6.266666666666667,-8.033333333333333,-8.033333333333333,-6.266666666666666,-6.3,-6.733333333333333,-4.766666666666667,-6.8,-7.066666666666666,-7.066666666666666,-6.900000000000001,-6.8,-4.8999999999999995,-6.133333333333333,-6.033333333333334,-5.866666666666667,-6.7,-6.6000000000000005,-6.7,-5.233333333333333,-6.433333333333334,-7.2,-7.5,-8.333333333333334,-6.0,-4.0,-7.466666666666666,-7.2,-7.566666666666667,-6.533333333333334,-7.666666666666667,-7.033333333333334,-9.133333333333333,-7.5
HBAC_3,-4.5,-4.8,-4.833333333333333,-5.1,-4.733333333333333,-4.7,-6.400000000000001,-5.866666666666667,-7.4,-4.766666666666667,-5.533333333333334,-5.7,-4.933333333333333,-5.2,-5.599999999999999,-5.7,-4.7,-5.333333333333333,-5.7,-7.766666666666667,-7.266666666666667,-6.766666666666666,-7.099999999999999,-5.233333333333333,-6.666666666666667,-6.5,-7.766666666666667,-6.166666666666667,-8.0,-7.333333333333333,-6.0,-6.0,-6.666666666666667,-4.333333333333333,-6.733333333333333,-6.599999999999999,-6.866666666666667,-6.900000000000001,-6.599999999999999,-5.066666666666667,-6.2,-6.366666666666667,-5.7,-6.666666666666667,-6.633333333333334,-6.233333333333333,-4.8999999999999995,-6.0,-6.8999999999999995,-7.533333333333334,-7.766666666666667,-5.866666666666667,-4.366666666666666,-6.566666666666667,-7.133333333333333,-8.033333333333333,-7.1000000000000005,-7.066666666666666,-7.566666666666666,-7.5,-7.466666666666666
HBAC_4,-5.0,-5.166666666666667,-4.8,-5.1000000000000005,-5.233333333333333,-5.033333333333333,-7.1000000000000005,-5.766666666666666,-7.966666666666666,-5.333333333333333,-5.633333333333333,-5.400000000000001,-4.466666666666666,-4.133333333333333,-5.566666666666666,-5.666666666666667,-4.433333333333333,-5.400000000000001,-6.5,-8.866666666666667,-7.8,-8.1,-7.766666666666667,-5.566666666666667,-7.5,-6.366666666666666,-8.966666666666667,-6.533333333333334,-9.133333333333336,-8.666666666666666,-6.900000000000001,-6.1000000000000005,-7.333333333333333,-5.133333333333334,-7.8,-7.566666666666667,-7.666666666666667,-7.2,-7.433333333333334,-4.366666666666666,-6.5,-6.333333333333333,-6.866666666666667,-6.066666666666666,-6.433333333333334,-6.0,-5.333333333333333,-6.2,-8.066666666666666,-8.9,-7.900000000000001,-6.7,-3.733333333333333,-7.1000000000000005,-7.933333333333333,-8.733333333333334,-8.2,-8.4,-8.433333333333332,-8.666666666666666,-8.7
HBAC_5,-3.0,-2.966666666666667,-2.9333333333333336,-2.8666666666666667,-3.3666666666666667,-3.1,-4.3,-3.4,-4.633333333333334,-3.0,-3.5666666666666664,-3.7999999999999994,-2.8333333333333335,-2.6333333333333333,-3.266666666666667,-3.7000000000000006,-2.6666666666666665,-3.766666666666667,-3.8333333333333335,-5.2,-5.2,-4.5,-4.766666666666667,-4.0,-4.066666666666666,-4.5,-5.2,-4.0,-5.0,-4.266666666666667,-4.5,-4.2,-4.033333333333333,-2.7999999999999994,-4.7,-4.3,-4.4,-4.933333333333334,-4.4,-2.6999999999999997,-4.1,-4.4,-4.366666666666666,-4.3,-4.1,-4.333333333333333,-3.033333333333333,-4.466666666666666,-4.666666666666667,-4.8,-5.0,-3.8666666666666663,-2.5,-4.466666666666666,-4.8,-5.1000000000000005,-4.2,-4.933333333333334,-4.2,-5.333333333333333,-5.3
HBAC_6,-4.6,-4.833333333333333,-5.133333333333334,-4.766666666666667,-4.966666666666666,-4.733333333333333,-6.633333333333333,-6.066666666666667,-7.233333333333333,-4.3,-5.633333333333333,-5.8,-4.333333333333333,-4.366666666666666,-5.300000000000001,-5.766666666666667,-4.333333333333333,-5.1000000000000005,-6.0,-8.3,-7.3,-7.433333333333334,-7.5,-5.433333333333334,-7.3,-7.633333333333333,-8.733333333333333,-5.5,-8.4,-6.833333333333333,-6.733333333333333,-5.6000000000000005,-6.366666666666667,-4.5,-7.0,-7.3,-7.166666666666667,-6.900000000000001,-6.900000000000001,-4.533333333333333,-5.733333333333333,-5.599999999999999,-6.0,-6.066666666666666,-7.099999999999999,-5.333333333333333,-4.933333333333334,-5.166666666666666,-6.8,-7.3,-7.7,-5.866666666666667,-4.9,-5.933333333333334,-7.633333333333333,-7.266666666666667,-6.266666666666666,-7.5,-6.866666666666667,-7.233333333333333,-7.566666666666666
HBAC_7,-4.666666666666667,-5.0,-4.866666666666667,-4.9,-4.8999999999999995,-5.033333333333333,-7.666666666666667,-5.2,-8.7,-5.199999999999999,-6.1000000000000005,-5.900000000000001,-4.333333333333333,-4.266666666666667,-5.433333333333334,-6.233333333333333,-4.666666666666667,-5.333333333333333,-6.3,-8.9,-8.666666666666666,-7.7,-8.6,-5.233333333333333,-7.866666666666667,-6.166666666666667,-8.433333333333332,-6.433333333333334,-8.166666666666666,-7.433333333333334,-6.833333333333333,-6.266666666666667,-6.566666666666667,-4.633333333333333,-7.866666666666667,-8.166666666666666,-8.233333333333334,-7.633333333333333,-8.0,-4.6000000000000005,-6.333333333333333,-6.166666666666667,-7.066666666666666,-6.400000000000001,-6.833333333333333,-6.466666666666666,-4.766666666666667,-6.133333333333333,-7.3,-7.733333333333333,-8.166666666666666,-5.733333333333334,-3.8666666666666663,-7.0,-6.966666666666666,-8.133333333333333,-7.733333333333334,-7.833333333333333,-8.2,-8.333333333333334,-8.4
HBAC_8,-5.0,-4.566666666666666,-4.5,-5.233333333333333,-4.8999999999999995,-4.8,-7.033333333333334,-6.0,-9.266666666666667,-5.2,-5.400000000000001,-5.3,-4.533333333333334,-4.466666666666667,-5.866666666666667,-5.5,-5.033333333333334,-5.266666666666667,-6.133333333333333,-9.566666666666666,-7.466666666666666,-8.1,-7.566666666666666,-5.433333333333334,-8.0,-7.0,-8.966666666666667,-6.900000000000001,-8.1,-7.666666666666667,-7.633333333333333,-7.3,-7.233333333333333,-4.3,-7.599999999999999,-7.900000000000001,-7.599999999999999,-7.599999999999999,-7.366666666666667,-4.666666666666667,-7.2,-7.066666666666666,-6.933333333333333,-7.2,-6.766666666666667,-6.900000000000001,-4.966666666666666,-7.099999999999999,-8.633333333333333,-8.166666666666666,-8.233333333333334,-6.466666666666666,-4.3,-6.733333333333333,-7.5,-7.5,-7.566666666666666,-8.266666666666666,-7.400000000000001,-8.0,-8.366666666666667
HBAC_9,-3.9,-4.133333333333334,-3.966666666666667,-4.466666666666666,-4.3999999999999995,-4.2,-6.066666666666666,-5.066666666666667,-7.033333333333334,-4.466666666666666,-5.2,-5.3,-4.066666666666666,-4.233333333333333,-5.133333333333333,-5.233333333333333,-4.333333333333333,-5.0,-6.0,-8.266666666666667,-6.966666666666666,-6.5,-7.2,-4.9,-6.466666666666666,-6.099999999999999,-8.1,-5.766666666666667,-7.433333333333333,-6.333333333333333,-6.266666666666667,-6.2,-6.033333333333334,-3.9666666666666663,-6.333333333333333,-6.333333333333333,-6.466666666666666,-7.433333333333334,-6.2,-4.266666666666667,-6.5,-6.599999999999999,-5.7,-6.2,-5.900000000000001,-6.400000000000001,-4.266666666666667,-6.033333333333334,-7.433333333333334,-7.166666666666667,-6.833333333333333,-5.233333333333333,-3.4333333333333336,-6.233333333333333,-8.533333333333333,-7.2,-6.5,-6.933333333333333,-6.133333333333333,-7.0,-7.099999999999999
HBAC_10,-4.866666666666666,-5.433333333333334,-4.566666666666666,-4.266666666666667,-5.166666666666667,-4.733333333333333,-6.7,-4.866666666666666,-7.333333333333333,-4.866666666666666,-5.3,-5.866666666666667,-3.9333333333333336,-4.7,-4.866666666666667,-6.166666666666667,-3.7999999999999994,-4.933333333333334,-6.1000000000000005,-7.966666666666666,-7.433333333333334,-7.233333333333333,-7.4,-4.8,-7.400000000000001,-5.900000000000001,-7.900000000000001,-5.433333333333334,-7.766666666666666,-7.6,-6.566666666666666,-5.933333333333333,-6.266666666666666,-4.6000000000000005,-7.433333333333333,-7.2,-7.366666666666667,-7.599999999999999,-7.266666666666667,-3.9666666666666663,-5.800000000000001,-6.1000000000000005,-5.599999999999999,-6.0,-6.400000000000001,-6.0,-5.3,-6.0,-7.566666666666666,-7.866666666666666,-7.066666666666666,-5.266666666666667,-3.9333333333333336,-6.099999999999999,-7.400000000000001,-6.766666666666666,-6.466666666666666,-6.833333333333333,-6.033333333333334,-7.833333333333333,-8.166666666666666
HBAC_11,-4.766666666666667,-5.066666666666666,-4.8,-4.033333333333333,-4.866666666666667,-5.3,-6.066666666666667,-5.266666666666667,-7.266666666666666,-4.933333333333334,-5.0,-4.933333333333334,-4.1000000000000005,-3.466666666666667,-4.966666666666667,-5.266666666666667,-3.766666666666666,-4.833333333333334,-5.599999999999999,-7.933333333333334,-7.633333333333333,-7.066666666666666,-7.033333333333334,-5.533333333333334,-7.2,-5.7,-8.066666666666668,-5.033333333333333,-7.733333333333333,-7.466666666666666,-6.566666666666666,-5.533333333333332,-6.433333333333334,-4.633333333333334,-7.466666666666666,-6.966666666666668,-7.6,-7.033333333333334,-6.8999999999999995,-3.7999999999999994,-5.699999999999999,-6.2,-5.566666666666666,-5.766666666666667,-6.5,-5.533333333333334,-4.933333333333334,-5.7,-7.5,-7.2,-6.966666666666666,-5.400000000000001,-3.933333333333333,-5.966666666666666,-8.0,-6.7,-6.2,-6.433333333333334,-6.266666666666667,-7.466666666666666,-7.533333333333334
